Vehicle Type,Pickup Location,Drop Location,Ride Distance
Go Mini,Bhikaji Cama Place,Anand Vihar,23.53
Premier Sedan,Azadpur,ITO,45.86
Go Mini,Pragati Maidan,Sultanpur,null
Auto,Noida Sector 18,Subhash Chowk,23.6
Auto,Gwal Pahari,Kherki Daula Toll,null
Go Mini,Laxmi Nagar,Golf Course Road,8.17
Go Sedan,Green Park,Sultanpur,12.83
Bike,Bahadurgarh,Ashok Park Main,null
Go Mini,Keshav Puram,Noida Extension,22.04
Go Sedan,Ramesh Nagar,Ashok Vihar,48.74
Auto,Chirag Delhi,Saidulajab,3.08
Go Sedan,Khandsa,India Gate,24.08
Go Mini,Ramesh Nagar,Hauz Rani,20.2
Auto,Panipat,Maidan Garhi,null
Auto,Gurgaon Railway Station,Vidhan Sabha,29.42
Go Sedan,Delhi Gate,New Colony,2.97
Go Mini,GTB Nagar,Laxmi Nagar,2.88
Uber XL,Shivaji Park,Satguru Ram Singh Marg,null
eBike,Palam Vihar,Raj Nagar Extension,22.93
Go Mini,Sonipat,Panchsheel Park,48.43
Go Sedan,Madipur,ITO,23.77
Auto,Gurgaon Sector 56,Okhla,39.88
Go Mini,DLF City Court,Subhash Chowk,49.9
Go Mini,Akshardham,IFFCO Chowk,17.9
Bike,Samaypur Badli,Botanical Garden,null
eBike,Nirman Vihar,Sadar Bazar Gurgaon,null
Go Mini,Moolchand,Civil Lines Gurgaon,27.83
Auto,Sushant Lok,INA Market,20.61
Auto,Hero Honda Chowk,Lal Quila,19.81
Auto,Rajiv Nagar,Qutub Minar,6.35
Go Mini,Inderlok,Ashok Park Main,1.99
Auto,Akshardham,Saket,36.87
Auto,Delhi Gate,Ardee City,17.73
eBike,Janakpuri,Nirman Vihar,null
Auto,Jhilmil,Yamuna Bank,null
Bike,Janakpuri,Kashmere Gate,19.94
Go Mini,Manesar,Welcome,null
Premier Sedan,Badshahpur,Faridabad Sector 15,48.58
Bike,Vidhan Sabha,Khandsa,26.39
Auto,Khan Market,Pataudi Chowk,12.17
Premier Sedan,Rithala,Ramesh Nagar,null
eBike,Rohini,Ashok Park Main,26.16
Auto,Anand Vihar,RK Puram,28.2
Auto,Vishwavidyalaya,Peeragarhi,34.32
Go Mini,Udyog Vihar Phase 4,Govindpuri,36.6
eBike,Okhla,Shastri Nagar,32.7
Bike,Moti Nagar,Mehrauli,10.91
Go Mini,Noida Extension,Panipat,45.89
Go Sedan,DLF Phase 3,Kalkaji,5.6
Auto,Civil Lines Gurgaon,Jasola,null
Auto,Pitampura,Badshahpur,null
Premier Sedan,India Gate,Akshardham,41.52
Auto,Govindpuri,DLF Phase 3,24.07
Auto,Barakhamba Road,India Gate,13.08
Bike,Kadarpur,Mehrauli,null
Premier Sedan,Tagore Garden,Akshardham,4.49
Go Mini,Gwal Pahari,Model Town,14.39
Auto,Rajouri Garden,Karkarduma,44.45
Auto,Mansarovar Park,Faridabad Sector 15,45.44
Bike,Qutub Minar,Nirman Vihar,16.11
Go Mini,Laxmi Nagar,Tilak Nagar,null
Go Sedan,Rohini,Gurgaon Sector 56,21.39
Go Mini,India Gate,Panipat,17.89
Go Mini,Dilshad Garden,Raj Nagar Extension,28.29
Go Mini,Noida Sector 18,Karol Bagh,26.92
Bike,Netaji Subhash Place,Greater Kailash,36.27
Premier Sedan,Rajiv Nagar,Saidulajab,38.97
Go Mini,Saket,MG Road,16.16
Go Sedan,Khandsa,Lal Quila,14.37
eBike,Arjangarh,Janakpuri,null
Go Sedan,Kalkaji,Huda City Centre,null
Auto,ITO,Kanhaiya Nagar,27.18
Auto,South Extension,Kanhaiya Nagar,26.91
Auto,Janakpuri,Dwarka Mor,43.99
Go Sedan,IFFCO Chowk,Govindpuri,null
Bike,Vaishali,Narsinghpur,5.98
Bike,Nawada,Kherki Daula Toll,43.75
Auto,Ramesh Nagar,Seelampur,null
Auto,Civil Lines Gurgaon,Vasant Kunj,4.69
Premier Sedan,Central Secretariat,Sarai Kale Khan,9.57
Auto,Basai Dhankot,Bahadurgarh,22.58
Premier Sedan,Welcome,Civil Lines Gurgaon,null
Auto,Aya Nagar,Khan Market,13.01
Auto,Panchsheel Park,Badarpur,null
Uber XL,Greater Noida,Saidulajab,1.07
Auto,Rohini,Meerut,40.88
Go Sedan,Kanhaiya Nagar,Vidhan Sabha,2.45
eBike,Jor Bagh,Kalkaji,25.42
Auto,Pragati Maidan,Sultanpur,19.53
Bike,Govindpuri,GTB Nagar,1.15
Go Sedan,Ashram,Noida Sector 18,30.64
Go Sedan,Anand Vihar ISBT,Adarsh Nagar,48.71
Premier Sedan,Ambience Mall,Rajiv Chowk,19.08
Premier Sedan,Golf Course Road,Mundka,null
Auto,Pragati Maidan,MG Road,null
Auto,Noida Film City,Model Town,25.49
Uber XL,Adarsh Nagar,Khandsa,null
Bike,Jahangirpuri,Paharganj,23.08
Premier Sedan,Saket A Block,Kherki Daula Toll,35.23
Go Sedan,Peeragarhi,Vinobapuri,11.12
Go Mini,Khandsa,Sonipat,28.5
Go Sedan,Shivaji Park,Anand Vihar,null
Go Sedan,ITO,Rohini East,null
Auto,Khan Market,Pragati Maidan,null
Go Sedan,Saket,Green Park,14.69
Bike,Khan Market,Sultanpur,23.04
Go Sedan,Greater Kailash,Palam Vihar,5.88
Auto,ITO,Tilak Nagar,22.99
Premier Sedan,Gurgaon Sector 29,GTB Nagar,44.82
Auto,INA Market,Jhilmil,26.49
Go Mini,Aya Nagar,Mehrauli,19.8
Go Sedan,Kherki Daula Toll,Indirapuram,49.29
Auto,Sadar Bazar Gurgaon,Bahadurgarh,39.52
Go Sedan,Keshav Puram,Dwarka Mor,null
Go Sedan,MG Road,Dilshad Garden,49.93
Auto,Saket A Block,Kashmere Gate ISBT,null
Premier Sedan,Gurgaon Railway Station,Paschim Vihar,10.93
Go Sedan,Botanical Garden,Narsinghpur,44.61
Auto,Satguru Ram Singh Marg,Ambience Mall,27.95
Go Sedan,Patel Chowk,Munirka,38.72
Go Sedan,Okhla,Ghitorni Village,null
Auto,RK Puram,Hauz Rani,14.2
Go Mini,Peeragarhi,Anand Vihar,null
eBike,Dilshad Garden,Udyog Vihar Phase 4,null
Go Sedan,Anand Vihar ISBT,Patel Chowk,31.67
Auto,Jor Bagh,Bahadurgarh,null
Auto,Kashmere Gate ISBT,Gurgaon Railway Station,11.54
Auto,Civil Lines Gurgaon,Dwarka Mor,44.87
Premier Sedan,Ghitorni Village,Saidulajab,null
Auto,Paschim Vihar,Sonipat,7.63
Go Sedan,New Delhi Railway Station,IMT Manesar,null
Premier Sedan,Udyog Vihar Phase 4,Malviya Nagar,37.03
Go Mini,New Delhi Railway Station,Jama Masjid,21.7
Premier Sedan,Meerut,Shivaji Park,23.28
Premier Sedan,Nirman Vihar,Gurgaon Sector 56,40.18
Auto,Lal Quila,INA Market,24.37
Premier Sedan,Hauz Khas,Ashram,25.96
Uber XL,Bahadurgarh,Hero Honda Chowk,9.94
Go Sedan,Maidan Garhi,Vishwavidyalaya,null
Go Sedan,Tughlakabad,Seelampur,33.11
Premier Sedan,Inderlok,Dwarka Mor,45.4
Auto,Anand Vihar,Rohini,null
Auto,Kaushambi,Shahdara,null
Go Mini,Preet Vihar,Botanical Garden,43.16
Auto,Shahdara,Kashmere Gate ISBT,5.06
Auto,South Extension,Ashram,25.43
Auto,Moti Nagar,Vinobapuri,26
Go Mini,Green Park,Laxmi Nagar,47.8
Go Sedan,Tughlakabad,Seelampur,null
Go Mini,Ashram,Munirka,35.53
Premier Sedan,Mayur Vihar,Hero Honda Chowk,5.92
Uber XL,Rohini,Panipat,46.37
Go Mini,Noida Sector 18,Azadpur,49.39
Go Sedan,Nawada,GTB Nagar,11.72
Auto,Noida Sector 62,Barakhamba Road,null
eBike,Laxmi Nagar,Hero Honda Chowk,29.53
Go Mini,Shahdara,Moolchand,null
Go Sedan,GTB Nagar,Mansarovar Park,42.08
eBike,Jor Bagh,Ghitorni Village,6.98
Auto,Chirag Delhi,Shivaji Park,null
Go Sedan,Udyog Vihar,India Gate,45.33
Go Sedan,Laxmi Nagar,Khandsa,22.69
Go Mini,Rohini East,AIIMS,17.42
Auto,Vasant Kunj,Ambience Mall,19.93
Auto,Samaypur Badli,Karol Bagh,17.56
Go Mini,Noida Sector 62,Paschim Vihar,null
Premier Sedan,Kirti Nagar,Sonipat,35.23
Bike,IMT Manesar,Kalkaji,9.76
Bike,Chirag Delhi,Keshav Puram,null
Bike,Moolchand,Meerut,43.25
Go Mini,Mehrauli,Noida Film City,28.16
Auto,Moti Nagar,Kirti Nagar,5.09
eBike,Indirapuram,Vaishali,49.81
Auto,Barakhamba Road,Gwal Pahari,43.59
Premier Sedan,Jahangirpuri,DLF Phase 3,23.01
Premier Sedan,Huda City Centre,Ghitorni Village,9.9
Auto,Botanical Garden,Kalkaji,40.5
Go Mini,Pragati Maidan,Keshav Puram,6.36
Auto,Rajiv Chowk,Bahadurgarh,30.79
Bike,Hauz Rani,Paharganj,31.76
Bike,RK Puram,Vinobapuri,32.89
Bike,Panchsheel Park,Saket,44.78
Go Mini,Connaught Place,Chirag Delhi,null
Go Mini,Indirapuram,IIT Delhi,16.38
eBike,Palam Vihar,Dwarka Mor,43.95
Go Sedan,Kaushambi,Delhi Gate,34.01
Go Mini,Khandsa,Ghitorni Village,43.94
Premier Sedan,Khan Market,Saket A Block,26.26
Go Mini,IFFCO Chowk,Saidulajab,8.22
Auto,Basai Dhankot,Vinobapuri,16.94
Premier Sedan,Ashok Vihar,Huda City Centre,null
Auto,Jor Bagh,IGI Airport,26.7
Go Sedan,Indraprastha,Narsinghpur,37.66
Bike,Anand Vihar ISBT,Kirti Nagar,null
Go Sedan,Okhla,Ardee City,null
Premier Sedan,Vaishali,Vatika Chowk,null
Go Sedan,Panchsheel Park,Ghitorni,13.3
Go Sedan,Pragati Maidan,Karkarduma,null
Bike,Palam Vihar,Sadar Bazar Gurgaon,null
Auto,Jor Bagh,Peeragarhi,34.01
Go Sedan,Central Secretariat,New Delhi Railway Station,7.23
Auto,Saidulajab,Lok Kalyan Marg,9.41
Auto,Karol Bagh,Qutub Minar,27.76
Auto,Punjabi Bagh,Old Gurgaon,3.85
Go Mini,Bahadurgarh,Tughlakabad,null
Bike,Punjabi Bagh,Ghitorni Village,null
eBike,Moti Nagar,Manesar,null
Go Sedan,Vaishali,Khandsa,7.42
Go Mini,Govindpuri,Model Town,36.59
Bike,Chhatarpur,Lal Quila,23.35
eBike,IIT Delhi,Welcome,null
Auto,Civil Lines Gurgaon,Sarai Kale Khan,9.21
eBike,Badshahpur,Jahangirpuri,45.14
Go Sedan,Saidulajab,Sarai Kale Khan,7.94
Auto,Gurgaon Railway Station,Yamuna Bank,31.4
Auto,Jama Masjid,Mandi House,8.63
Auto,Kherki Daula Toll,Ghitorni Village,null
Auto,Hauz Khas,MG Road,35.28
Go Mini,New Delhi Railway Station,IGI Airport,49.45
Premier Sedan,Dwarka Mor,Meerut,31.59
Go Mini,MG Road,Nehru Place,null
Go Sedan,Pataudi Chowk,Central Secretariat,36.93
Auto,Seelampur,Mandi House,25.99
Bike,Vidhan Sabha,Ramesh Nagar,null
eBike,Mansarovar Park,IMT Manesar,10.23
Premier Sedan,Panchsheel Park,Tughlakabad,null
Premier Sedan,New Colony,Mansarovar Park,null
Go Sedan,Sonipat,Janakpuri,13.46
Go Sedan,Greater Noida,Saidulajab,5.52
Auto,Noida Extension,DLF Phase 3,11.47
Premier Sedan,Kalkaji,Sarojini Nagar,null
Auto,Punjabi Bagh,Dwarka Sector 21,null
Go Mini,Gurgaon Sector 29,Panchsheel Park,19.37
Uber XL,Noida Sector 62,Patel Chowk,38.98
Premier Sedan,IMT Manesar,Pulbangash,11.96
Uber XL,Seelampur,Vasant Kunj,null
Premier Sedan,Ashram,IFFCO Chowk,35.13
Go Sedan,Barakhamba Road,Central Secretariat,25.21
Bike,Udyog Bhawan,Sonipat,40.24
eBike,Rajouri Garden,Ashok Park Main,45.52
Go Sedan,Kanhaiya Nagar,Munirka,27.99
Go Sedan,Shastri Park,Chanakyapuri,32.07
Premier Sedan,Udyog Vihar Phase 4,Delhi Gate,31.27
Bike,Meerut,Jahangirpuri,null
Auto,Barakhamba Road,GTB Nagar,23.25
Go Sedan,Sonipat,Connaught Place,null
Auto,Lajpat Nagar,Tagore Garden,25.74
eBike,Seelampur,Lajpat Nagar,17.68
eBike,Moti Nagar,Narsinghpur,null
Premier Sedan,Ashok Park Main,Punjabi Bagh,21.26
Bike,Rohini East,Okhla,31.97
eBike,Ashok Park Main,Lajpat Nagar,4.75
Go Sedan,New Delhi Railway Station,Vasant Kunj,null
Go Sedan,AIIMS,Sultanpur,10.94
Go Mini,Central Secretariat,Dilshad Garden,18.37
eBike,Kanhaiya Nagar,Kaushambi,null
Auto,Shivaji Park,Greater Noida,13.55
Bike,Dwarka Mor,Dilshad Garden,null
Premier Sedan,Ramesh Nagar,Kanhaiya Nagar,5.31
Uber XL,Shahdara,Mandi House,null
Go Mini,Karkarduma,Karol Bagh,43.37
Auto,Anand Vihar ISBT,Chhatarpur,null
Premier Sedan,Tagore Garden,Vinobapuri,36.07
Uber XL,IMT Manesar,Saket A Block,null
Auto,Vasant Kunj,Udyog Vihar,22.37
Go Mini,Hauz Khas,Greater Kailash,44.03
Go Sedan,INA Market,Lajpat Nagar,null
Premier Sedan,Udyog Bhawan,Yamuna Bank,2.58
Auto,Connaught Place,Satguru Ram Singh Marg,42.27
Go Mini,Kanhaiya Nagar,Hero Honda Chowk,6.3
Go Sedan,Indraprastha,Chandni Chowk,22.47
Auto,Bahadurgarh,Jama Masjid,3.54
Go Mini,Pitampura,Kanhaiya Nagar,31.61
eBike,Welcome,Golf Course Road,null
Go Sedan,Green Park,Paharganj,17.63
eBike,Sadar Bazar Gurgaon,Shastri Nagar,5.33
Premier Sedan,Tilak Nagar,Pataudi Chowk,47.5
Auto,IMT Manesar,Uttam Nagar,6.2
Auto,Shivaji Park,Inderlok,41.02
Go Sedan,Akshardham,Sarojini Nagar,23.19
Uber XL,Moti Nagar,Greater Noida,28.04
Uber XL,New Delhi Railway Station,Raj Nagar Extension,18.5
Premier Sedan,Badarpur,Cyber Hub,null
Go Mini,Anand Vihar,Vinobapuri,16.32
Auto,Khandsa,Udyog Vihar,null
Auto,Noida Sector 62,Sadar Bazar Gurgaon,10.54
Auto,Ramesh Nagar,Paharganj,49.83
Uber XL,Kirti Nagar,Vaishali,29.92
Go Sedan,Ghaziabad,Khan Market,37.74
Go Mini,DLF City Court,Paharganj,null
Uber XL,Faridabad Sector 15,Paschim Vihar,null
Uber XL,Kirti Nagar,Chirag Delhi,19.27
Uber XL,Mayur Vihar,Kirti Nagar,2.57
Premier Sedan,Indirapuram,Chirag Delhi,null
Go Mini,Yamuna Bank,Shivaji Park,9.36
Go Sedan,Jama Masjid,Kalkaji,31.64
Go Sedan,Mandi House,Gwal Pahari,20.63
Go Mini,DLF Phase 3,Udyog Bhawan,null
Go Sedan,Greater Kailash,Mundka,39.19
Go Sedan,INA Market,IGNOU Road,20.89
Bike,IGNOU Road,Tughlakabad,17.83
Bike,DLF City Court,Subhash Nagar,17.01
Auto,Udyog Bhawan,INA Market,36.95
eBike,Central Secretariat,Moolchand,12.72
Auto,Bahadurgarh,Manesar,12
Uber XL,Sonipat,Keshav Puram,3.26
Auto,Jor Bagh,Karol Bagh,38.54
Auto,Rajiv Chowk,Adarsh Nagar,8.03
Auto,Khan Market,Arjangarh,null
Go Sedan,Karkarduma,Arjangarh,null
Bike,Bahadurgarh,Khandsa,12.35
Go Mini,Shahdara,Ghitorni,30.33
Go Mini,Cyber Hub,Keshav Puram,18.74
Go Sedan,Pataudi Chowk,Shastri Nagar,4.57
Auto,Pulbangash,AIIMS,23.63
Go Sedan,Tis Hazari,Shastri Nagar,17.81
Go Mini,Huda City Centre,Rohini West,null
Bike,Meerut,Mundka,null
Go Sedan,Kanhaiya Nagar,Netaji Subhash Place,null
Auto,Cyber Hub,Malviya Nagar,39.37
Premier Sedan,Rohini,Lajpat Nagar,9.53
Go Mini,Okhla,Vaishali,null
Uber XL,Karkarduma,Peeragarhi,36.17
Uber XL,Karol Bagh,Ghitorni Village,21.04
Go Mini,Narsinghpur,Govindpuri,null
Go Mini,Shahdara,Panipat,null
Bike,Pragati Maidan,Shahdara,null
Go Mini,Vaishali,Pitampura,16.14
Auto,Badshahpur,Jhilmil,38.96
Auto,Sultanpur,Barakhamba Road,46.35
Uber XL,Inderlok,Qutub Minar,48.96
Go Mini,Dwarka Mor,Patel Chowk,45.58
Bike,Sikanderpur,Basai Dhankot,49.7
Premier Sedan,Vaishali,South Extension,11.99
Premier Sedan,Shastri Nagar,Ghitorni,4.13
Bike,Udyog Bhawan,Preet Vihar,3.38
Auto,Chanakyapuri,Dilshad Garden,null
Premier Sedan,Botanical Garden,Anand Vihar ISBT,44.97
Bike,Shastri Park,Sushant Lok,null
Premier Sedan,Basai Dhankot,Khandsa,11.28
Go Mini,Madipur,Ashram,null
Go Sedan,Laxmi Nagar,Rohini East,38.54
eBike,Bhikaji Cama Place,South Extension,49.37
Bike,Chhatarpur,South Extension,36.29
Auto,Civil Lines Gurgaon,Moolchand,null
Go Mini,Tilak Nagar,Anand Vihar,13.67
Auto,Udyog Bhawan,Rajiv Chowk,11.86
Auto,Saidulajab,Mayur Vihar,20.64
eBike,Pitampura,Vasant Kunj,null
Premier Sedan,Lok Kalyan Marg,Nawada,null
Bike,Rajouri Garden,Lok Kalyan Marg,23.22
Bike,Civil Lines Gurgaon,IGI Airport,null
Bike,Shastri Nagar,Seelampur,1.89
Go Mini,ITO,Sonipat,18.97
eBike,Shivaji Park,Aya Nagar,null
Auto,Khandsa,Faridabad Sector 15,32.44
Bike,Sikanderpur,Kalkaji,39.78
eBike,Govindpuri,MG Road,11.66
Premier Sedan,Kanhaiya Nagar,Paschim Vihar,18.26
Go Mini,Moti Nagar,Kalkaji,null
Auto,Narsinghpur,Sultanpur,12.25
eBike,Paharganj,Barakhamba Road,34.58
Auto,Anand Vihar,Ashram,null
Auto,Gurgaon Railway Station,Pataudi Chowk,42.75
Bike,Malviya Nagar,Vaishali,28.56
Auto,Seelampur,ITO,null
Bike,Sarai Kale Khan,RK Puram,null
Bike,Shastri Nagar,New Delhi Railway Station,null
Go Mini,Mansarovar Park,Bahadurgarh,48.4
Go Sedan,Dwarka Sector 21,Sikanderpur,10.67
Bike,Rohini East,Lajpat Nagar,null
Auto,Adarsh Nagar,Chanakyapuri,3.23
Go Mini,Connaught Place,Tagore Garden,6.46
Bike,Panipat,Karkarduma,null
Go Sedan,Meerut,Chandni Chowk,12.21
Auto,Qutub Minar,Shastri Nagar,19.12
Uber XL,Mehrauli,New Colony,null
Bike,Meerut,Sushant Lok,46.96
Go Sedan,Rohini,Kirti Nagar,39.63
Bike,Mundka,Indirapuram,42.51
Go Sedan,Gurgaon Sector 56,Pragati Maidan,null
Go Sedan,Bhikaji Cama Place,Preet Vihar,27.69
Go Sedan,Greater Kailash,DLF Phase 3,29.91
eBike,Udyog Vihar Phase 4,Vinobapuri,40.5
Bike,Saidulajab,IMT Manesar,8.67
Go Mini,Vidhan Sabha,Tughlakabad,null
Auto,Green Park,Rajiv Chowk,48.28
Go Mini,Udyog Vihar,Noida Film City,null
Premier Sedan,Central Secretariat,Vasant Kunj,null
Go Sedan,Karkarduma,Chanakyapuri,23.04
Go Mini,Palam Vihar,Welcome,18.01
Bike,Mayur Vihar,Nehru Place,12.15
Go Sedan,Botanical Garden,Badshahpur,9.58
eBike,Mundka,Anand Vihar ISBT,17.17
Auto,Delhi Gate,Palam Vihar,32.48
Go Sedan,Lal Quila,Rithala,48.09
Auto,Tughlakabad,Udyog Bhawan,35.59
Uber XL,Tis Hazari,Satguru Ram Singh Marg,null
Auto,Punjabi Bagh,Chhatarpur,39.61
Auto,IGNOU Road,Green Park,28.54
Premier Sedan,Rajiv Chowk,Khan Market,42.44
Go Sedan,New Delhi Railway Station,Gwal Pahari,8.03
Go Mini,Ardee City,Ghitorni,44.94
Bike,Paharganj,Hauz Khas,25.01
Go Mini,Karkarduma,Preet Vihar,null
Auto,Moti Nagar,Dilshad Garden,null
Uber XL,Ghaziabad,Maidan Garhi,29.56
Premier Sedan,Barakhamba Road,Sonipat,20.96
Go Sedan,Lok Kalyan Marg,Old Gurgaon,46.7
Bike,Moti Nagar,Akshardham,null
Premier Sedan,Rohini West,Preet Vihar,null
Go Mini,Badshahpur,Jhilmil,null
Go Mini,ITO,Ghitorni,null
eBike,Hauz Rani,Dwarka Mor,null
Auto,Greater Kailash,Saket,null
Go Mini,Pitampura,INA Market,null
Go Mini,Sarojini Nagar,Tis Hazari,32.91
Bike,Moti Nagar,Golf Course Road,30.53
Go Mini,Inderlok,Kanhaiya Nagar,null
Go Mini,Dwarka Mor,Vatika Chowk,44.06
Auto,Arjangarh,Paschim Vihar,38.35
Auto,Qutub Minar,Lal Quila,null
Go Sedan,Pitampura,Saidulajab,17.31
Go Mini,Basai Dhankot,Preet Vihar,14.89
Go Sedan,Meerut,Okhla,43.21
Go Sedan,GTB Nagar,Vidhan Sabha,20.54
Bike,New Delhi Railway Station,Samaypur Badli,35.59
Go Mini,Keshav Puram,Lok Kalyan Marg,47.2
Go Sedan,Mayur Vihar,Kashmere Gate,25.85
Go Sedan,Ghaziabad,Udyog Vihar,14.5
Bike,Azadpur,Indirapuram,46.69
Bike,Ardee City,Kherki Daula Toll,12.76
Go Sedan,Maidan Garhi,Saket,null
Go Mini,Ghitorni,Laxmi Nagar,null
Go Sedan,Noida Sector 62,Indirapuram,null
Auto,Palam Vihar,IGI Airport,27.83
Auto,Ramesh Nagar,Lajpat Nagar,27.22
Auto,Ghaziabad,Tagore Garden,42.53
Auto,Huda City Centre,Vaishali,42.57
Auto,Arjangarh,Udyog Bhawan,27.86
Bike,Greater Noida,Tilak Nagar,43.62
Premier Sedan,Khan Market,Paschim Vihar,2.54
Bike,Badarpur,Sikanderpur,12.78
Go Sedan,Pitampura,Karol Bagh,null
Bike,Manesar,Mundka,9.79
Go Mini,Udyog Vihar Phase 4,Sonipat,7.37
Auto,India Gate,DLF City Court,35.25
Go Mini,Ardee City,New Delhi Railway Station,30.99
Go Sedan,Gurgaon Sector 29,IIT Delhi,44.73
Go Mini,IIT Delhi,Vasant Kunj,null
Go Sedan,Tughlakabad,Delhi Gate,5.43
Go Sedan,Ghitorni Village,Inderlok,7.42
Premier Sedan,Jhilmil,Azadpur,null
Go Sedan,Green Park,Ashram,15.82
Bike,Mansarovar Park,Chirag Delhi,36.03
Auto,Udyog Vihar,Karkarduma,30.63
Go Sedan,Rajiv Chowk,Pataudi Chowk,48.35
Auto,Keshav Puram,Ashok Park Main,12.54
Go Sedan,Cyber Hub,AIIMS,5.25
Go Sedan,Kaushambi,Connaught Place,null
Bike,Okhla,Vaishali,null
Uber XL,Azadpur,Rohini,44.13
Bike,Barakhamba Road,Rajiv Nagar,34.05
Premier Sedan,Manesar,Raj Nagar Extension,null
Auto,Basai Dhankot,Sarai Kale Khan,15.8
Bike,Saidulajab,Palam Vihar,44.98
Premier Sedan,Paharganj,Vinobapuri,42.06
Go Sedan,Sohna Road,Greater Kailash,32.7
Auto,Connaught Place,Chhatarpur,12.73
Go Mini,Tilak Nagar,Jasola,6.78
Auto,Jor Bagh,Tughlakabad,1.36
Bike,Saket A Block,Mayur Vihar,9.96
Bike,Udyog Vihar Phase 4,Raj Nagar Extension,40.93
Bike,Kadarpur,Jahangirpuri,40.66
Go Mini,Welcome,IGI Airport,26.36
Go Mini,Lok Kalyan Marg,Botanical Garden,28.99
Auto,Manesar,Rohini East,6.26
Go Mini,Raj Nagar Extension,Noida Sector 18,34.43
Go Sedan,Sushant Lok,India Gate,30.13
Go Mini,Badarpur,Nehru Place,null
Auto,Malviya Nagar,Ashram,18.07
Auto,Ashok Park Main,Pataudi Chowk,null
Go Mini,Ashok Vihar,Mehrauli,29.53
Premier Sedan,Rajiv Chowk,Maidan Garhi,null
Auto,Azadpur,Lajpat Nagar,null
Go Sedan,Paschim Vihar,Vishwavidyalaya,null
Bike,Ashok Park Main,Manesar,21.72
Uber XL,Karkarduma,Bhikaji Cama Place,30.4
Premier Sedan,Sarai Kale Khan,Govindpuri,48.97
Go Sedan,IFFCO Chowk,Karol Bagh,45.94
Auto,Mansarovar Park,Kirti Nagar,null
Go Sedan,Welcome,Hero Honda Chowk,10.61
Go Mini,Pataudi Chowk,Hauz Rani,null
Go Sedan,Tilak Nagar,Ardee City,null
Bike,Peeragarhi,Central Secretariat,null
Premier Sedan,Huda City Centre,Greater Noida,46.88
Go Mini,Ashram,GTB Nagar,8.11
Bike,Akshardham,Uttam Nagar,null
Go Mini,Patel Chowk,Sikanderpur,14.03
Bike,Kashmere Gate ISBT,Hauz Khas,7.78
Bike,Jor Bagh,Satguru Ram Singh Marg,3.44
eBike,Akshardham,DLF Phase 3,9.03
Auto,ITO,Greater Noida,14.34
Auto,Kadarpur,Saidulajab,null
Go Mini,Seelampur,Mundka,null
Premier Sedan,Ghitorni,Preet Vihar,49.12
Premier Sedan,Bahadurgarh,Sohna Road,null
Go Mini,Akshardham,Lok Kalyan Marg,13.26
Go Mini,Nirman Vihar,Saidulajab,null
Premier Sedan,Jama Masjid,GTB Nagar,9.57
Auto,Manesar,Paharganj,26.47
Premier Sedan,Vidhan Sabha,Saidulajab,null
Go Mini,Sohna Road,Govindpuri,18.53
Go Sedan,Jama Masjid,Ashok Vihar,null
Auto,Cyber Hub,Jhilmil,10.63
Go Sedan,Qutub Minar,Netaji Subhash Place,10.07
Bike,Jhilmil,Shastri Park,null
Auto,Shastri Nagar,Golf Course Road,34.71
Auto,Nawada,Vatika Chowk,42.73
Auto,Panchsheel Park,DLF City Court,4.23
Premier Sedan,Mundka,New Delhi Railway Station,35.02
Auto,Barakhamba Road,Cyber Hub,null
Bike,IGI Airport,Barakhamba Road,null
Go Sedan,IGI Airport,Saket A Block,null
Go Sedan,Lal Quila,Nirman Vihar,48.15
Auto,Noida Film City,Dilshad Garden,37.24
Go Sedan,Preet Vihar,Rajouri Garden,null
Auto,Faridabad Sector 15,Vishwavidyalaya,8.37
Uber XL,Kashmere Gate,Seelampur,15.65
eBike,Mansarovar Park,Old Gurgaon,25
eBike,IMT Manesar,Huda City Centre,48.03
Bike,Mansarovar Park,Panchsheel Park,40.67
Auto,DLF City Court,Paschim Vihar,null
Premier Sedan,DLF City Court,Saidulajab,8.4
Uber XL,Noida Sector 18,Kalkaji,2.58
Auto,Jasola,Mayur Vihar,null
Auto,Saket,Jahangirpuri,36.59
Premier Sedan,Gurgaon Railway Station,Udyog Vihar Phase 4,23.34
Bike,Rajiv Nagar,Faridabad Sector 15,null
Go Sedan,Sadar Bazar Gurgaon,Rajiv Chowk,null
Premier Sedan,Noida Film City,Jor Bagh,null
Go Sedan,ITO,Hero Honda Chowk,13.79
eBike,Barakhamba Road,Shastri Nagar,20.88
eBike,Uttam Nagar,Moolchand,3.25
eBike,Old Gurgaon,Munirka,16.12
eBike,Sushant Lok,Rohini West,null
Premier Sedan,DLF Phase 3,Bhiwadi,32.37
Go Sedan,Raj Nagar Extension,Shahdara,12.05
Auto,Govindpuri,Kalkaji,null
Auto,Preet Vihar,Yamuna Bank,null
Go Sedan,Ghaziabad,Shastri Nagar,null
Bike,Meerut,IGI Airport,14.64
Go Mini,Noida Extension,Gurgaon Sector 56,43.49
Auto,Hauz Rani,Tilak Nagar,null
Go Sedan,Meerut,Rajiv Chowk,46.03
eBike,Govindpuri,Samaypur Badli,25.99
Auto,IMT Manesar,Madipur,18.25
Auto,Vidhan Sabha,Subhash Chowk,32.25
Premier Sedan,Rohini,MG Road,43.65
